Job_Title,Company_Name,Salary,Working_Status,Working_Type,Skills,Employee,Industry,Location,Date
Data Engineer,Arine ,"$140,000/yr - $160,000/yr ",Full-time,Remote,"['Python(ProgrammingLanguage)', 'AmazonWebServices(AWS)', 'Extract', 'Transform', 'Load(ETL)', 'HealthcareInformationTechnology(HIT)', 'SQL', 'ShellScripting', 'Snowflake', 'SnowflakeCloud']",51-200 employees , Hospitals and Health Care, United States,4 days ago
Full stack developer,TKG ,,Full-time,On-site,"['Back-EndWebDevelopment', 'Full-StackDevelopment', 'Programming', 'SolutionArchitecture', 'WebApplications', 'WebDevelopment']",11-50 employees,," North Canton, OH",4 days ago
Full Stack Engineer,"Eccalon, LLC ",,Full-time,Hybrid,"['AmazonWebServices(AWS)', 'Bootstrap(Framework)', 'C#', 'Django', 'DockerProducts', 'Full-StackDevelopment', 'Git', 'HTML5', 'JavaScript', 'React.js']",51-200 employees , Defense and Space Manufacturing," Hanover, MD",4 days ago
Software Engineers,Versaterm Public Safety ,,Full-time,Hybrid,"['AccessibilityPolicies', 'Angular', 'C#', 'CascadingStyleSheets(CSS)', 'HTML', 'JavaScript', 'KnowledgeAcquisition', 'SQL', 'VisualStudio', 'WorkloadPrioritization']",201-500 employees , Software Development," Columbia, South Carolina Metropolitan Area",1 week ago
2024 Intern - Software Engineer,Adobe ,,Full-time,On-site,"['Java', 'ProblemSolving', 'Python(ProgrammingLanguage)', 'CodeReview', 'Communication', 'ComputerEngineering', 'ComputerScience', 'JavaScript', 'SoftwareDevelopment', 'WrittenCommunication']","10,001+ employees ", Software Development," San Francisco, CA Reposted  2 hours ago",2 hours ago
Kafka | Docker | Kubernetes | Microservices | ASP.NET Developer - 5+ Years Experience Required - Remote Ops Center (Remote),Immersive Wisdom ,,Full-time,Remote,"['.NETFramework', 'ASP.NET', 'ASP.NETWebAPI', 'ApacheKafka', 'DockerProducts', 'Kubernetes', 'Microservices', 'Object-RelationalMapping(ORM)', 'SoftwareArchitecture', 'SoftwareSystems']",11-50 employees,, United States,1 week ago
Application Developer,"1-800 Hansons, LLC ","$85,000/yr - $95,000/yr ",Full-time,Hybrid,"['Angular', 'ApplicationDevelopment', 'Communication', 'JavaScript', 'MobileApplications', 'Node.js', 'RESTAPIs', 'RepresentationalStateTransfer(REST)', 'SQL', 'UnitTesting']",201-500 employees,," Troy, MI",1 week ago
Software Developer,WANRack ,,Full-time,On-site,"['Python(ProgrammingLanguage)', '.NETFramework', 'CascadingStyleSheets(CSS)', 'JavaScript', 'PHP', 'Perl', 'SQL', 'SoftwareDevelopment', 'VersionControl', 'WebApplications']",11-50 employees,," Wichita, KS",1 week ago
Test and Systems Engineer,Prysm Systems  ,"$120,000/yr - $130,000/yr ",Full-time,On-site,"['DataAcquisition', 'DataArchitecture', 'DataMining', 'DataModeling', 'DataScience', 'Infrastructure', 'LabTech', 'SystemDevelopment', 'TestSystems', 'WorkableSolutions']",201-500 employees,," Marlborough, MA",1 week ago
Software Engineer / Data Scientist,Perfex Chemical Solutions ,,Full-time,On-site,"['EnterpriseData', 'EnterpriseDataManagement', 'MicrosoftPowerApps', 'MicrosoftPowerAutomate', 'MicrosoftPowerPlatform', 'MobileApplicationDevelopment', 'Retirement', 'SkillDevelopment', 'VBAExcel', 'VBScript']",51-200 employees,," Edmond, OK",5 days ago
